h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688185620,NaN,2.000e-01,2
1688185680,NaN,NaN,2
1688185740,NaN,NaN,1
1688185800,NaN,NaN,1
1688185860,NaN,NaN,1
1688185920,NaN,NaN,1
1688185980,5.440e-01,NaN,1
1688186040,5.700e-01,NaN,1
1688186100,5.510e-01,NaN,1
1688186160,5.400e-01,NaN,1
1688186220,5.640e-01,NaN,1
1688186280,NaN,NaN,1
1688186340,NaN,NaN,2
1688186400,NaN,NaN,2
1688186460,NaN,NaN,2
1688186520,NaN,NaN,2
1688186580,NaN,2.000e-01,2
1688186640,NaN,2.000e-01,2
1688186700,NaN,2.000e-01,2
1688186760,NaN,2.000e-01,2
1688186820,NaN,2.000e-01,2
1688186880,NaN,NaN,2
1688186940,NaN,NaN,1
1688187000,NaN,NaN,1
1688187060,NaN,NaN,1
1688187120,NaN,NaN,1
1688187180,4.760e-01,NaN,1
1688187240,4.520e-01,NaN,1
1688187300,4.570e-01,NaN,1
1688187360,4.820e-01,NaN,1
1688187420,4.690e-01,NaN,1
1688187480,NaN,NaN,1
1688187540,NaN,NaN,2
1688187600,NaN,NaN,2
1688187660,NaN,NaN,2
1688187720,NaN,NaN,2
1688187780,NaN,2.000e-01,2
1688187840,NaN,2.000e-01,2
1688187900,NaN,2.000e-01,2
1688187960,NaN,2.000e-01,2
1688188020,NaN,2.000e-01,2
1688188080,NaN,NaN,2
1688188140,NaN,NaN,1
1688188200,NaN,NaN,1
1688188260,NaN,NaN,1
1688188320,NaN,NaN,1
1688188380,5.300e-01,NaN,1
1688188440,4.990e-01,NaN,1
1688188500,5.420e-01,NaN,1
1688188560,5.820e-01,NaN,1
1688188620,5.730e-01,NaN,1
1688188680,NaN,NaN,1
1688188740,NaN,NaN,2
1688188800,NaN,NaN,2
1688188860,NaN,NaN,2
1688188920,NaN,NaN,2
1688188980,NaN,2.000e-01,2
1688189040,NaN,2.000e-01,2
1688189100,NaN,2.000e-01,2
1688189160,NaN,2.000e-01,2
1688189220,NaN,2.000e-01,2
1688189280,NaN,NaN,2
1688189340,NaN,NaN,1
1688189400,NaN,NaN,1
1688189460,NaN,NaN,1
1688189520,NaN,NaN,1
1688189580,6.040e-01,NaN,1
1688189640,6.390e-01,NaN,1
1688189700,6.500e-01,NaN,1
1688189760,6.740e-01,NaN,1
1688189820,6.960e-01,NaN,1
1688189880,NaN,NaN,1
1688189940,NaN,NaN,2
1688190000,NaN,NaN,2
1688190060,NaN,NaN,2
1688190120,NaN,NaN,2
1688190180,NaN,2.000e-01,2
1688190240,NaN,2.000e-01,2
1688190300,NaN,2.000e-01,2
1688190360,NaN,2.000e-01,2
1688190420,NaN,2.000e-01,2
1688190480,NaN,NaN,2
1688190540,NaN,NaN,1
1688190600,NaN,NaN,1
1688190660,NaN,NaN,1
1688190720,NaN,NaN,1
1688190780,7.400e-01,NaN,1
1688190840,7.350e-01,NaN,1
1688190900,7.450e-01,NaN,1
1688190960,7.560e-01,NaN,1
1688191020,7.540e-01,NaN,1
1688191080,NaN,NaN,1
1688191140,NaN,NaN,2
1688191200,NaN,NaN,2
1688191260,NaN,NaN,2
1688191320,NaN,NaN,2
1688191380,NaN,2.000e-01,2
1688191440,NaN,2.000e-01,2
1688191500,NaN,2.000e-01,2
1688191560,NaN,2.000e-01,2
1688191620,NaN,2.000e-01,2
1688191680,NaN,NaN,2
