"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"h2s",20,"SE,SW,NW",0.18,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",30,"SE",0.08,"wsp_ms.night"
"h2s",30,"SW",0.09,"wsp_ms.night, wind_SW.night"
"h2s",30,"NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",30,"SE,SW",0.12,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",30,"SE,NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",30,"SW,NW",0.18,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",30,"SE,SW,NW",0.18,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",50,"SE",0.09,"wsp_ms.night"
"h2s",50,"SW",0.1,"wsp_ms.night, wind_SW.night"
"h2s",50,"NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",50,"SE,SW",0.13,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",50,"SE,NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",50,"SW,NW",0.18,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",50,"SE,SW,NW",0.19,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"so2",5,"SE",0.02,"(Intercept), wind_SE.night"
"so2",5,"SW",0.01,"(Intercept)"
"so2",5,"NW",0.01,"(Intercept)"
"so2",5,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",5,"SE,NW",0.02,"(Intercept), wind_SE.night"
"so2",5,"SW,NW",0.01,"(Intercept)"
"so2",5,"SE,SW,NW",0.03,"(Intercept), wind_SE.night"
"so2",10,"SE",0.02,"(Intercept), wind_SE.night"
"so2",10,"SW",0.01,"(Intercept), weighted_monthly_oil"
"so2",10,"NW",0.01,"(Intercept), weighted_monthly_oil"
"so2",10,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",10,"SE,NW",0.02,"(Intercept), wind_SE.night"
"so2",10,"SW,NW",0.01,"(Intercept), weighted_monthly_oil"
"so2",10,"SE,SW,NW",0.03,"(Intercept), wind_SE.night"
"so2",20,"SE",0.02,"(Intercept), wind_SE.night"
"so2",20,"SW",0,"(Intercept)"
"so2",20,"NW",0.01,"(Intercept)"
"so2",20,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",20,"SE,NW",0.02,"(Intercept), wind_SE.night"
"so2",20,"SW,NW",0.01,"(Intercept)"
"so2",20,"SE,SW,NW",0.02,"(Intercept), wind_SE.night"
"so2",30,"SE",0.02,"(Intercept), wind_SE.night"
"so2",30,"SW",0,"(Intercept)"
"so2",30,"NW",0.01,"(Intercept)"
"so2",30,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",30,"SE,NW",0.02,"(Intercept), wind_SE.night"
"so2",30,"SW,NW",0.01,"(Intercept)"
"so2",30,"SE,SW,NW",0.02,"(Intercept), wind_SE.night"
"so2",50,"SE",0.02,"(Intercept), wind_SE.night"
"so2",50,"SW",0,"(Intercept)"
"so2",50,"NW",0.01,"(Intercept)"
"so2",50,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",50,"SE,NW",0.02,"(Intercept), wind_SE.night"
"so2",50,"SW,NW",0.01,"(Intercept)"
"so2",50,"SE,SW,NW",0.02,"(Intercept), wind_SE.night"
"ethane",5,"SE",0.43,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"ethane",5,"SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"NW",0.42,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE",0.43,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"ethane",10,"SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SW",0.42,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"NW",0.42,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"NW",0.42,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil"
"ethane",50,"SE",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethene",5,"SE",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW",0.36,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, n_flare_5"
"ethene",5,"NW",0.36,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW",0.41,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SE,NW",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW,NW",0.38,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW,NW",0.42,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",10,"SE",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SW",0.36,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"ethene",10,"NW",0.35,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night"
"ethene",10,"SE,SW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SE,NW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SW,NW",0.37,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night"
"ethene",10,"SE,SW,NW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SE",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SW",0.35,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"ethene",20,"NW",0.35,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night"
