"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"benzene",5,"SE,NW",0.399,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",5,"SW,NW",0.394,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_5"
"benzene",5,"SE,SW,NW",0.401,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_5"
"benzene",10,"SE",0.395,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",10,"SW",0.396,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_10"
"benzene",10,"NW",0.385,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",10,"SE,SW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, n_flare_10"
"benzene",10,"SE,NW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",10,"SW,NW",0.396,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_10"
"benzene",10,"SE,SW,NW",0.402,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"benzene",20,"SE",0.387,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",20,"SW",0.388,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",20,"NW",0.378,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",20,"SE,SW",0.391,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",20,"SE,NW",0.392,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night"
"benzene",20,"SW,NW",0.388,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",20,"SE,SW,NW",0.394,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",30,"SE",0.388,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",30,"SW",0.389,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",30,"NW",0.379,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",30,"SE,SW",0.392,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",30,"SE,NW",0.394,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night"
"benzene",30,"SW,NW",0.389,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",30,"SE,SW,NW",0.395,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",50,"SE",0.391,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW",0.392,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"NW",0.382,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,SW",0.395,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,NW",0.396,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW,NW",0.392,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"SE,SW,NW",0.398,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"co",5,"SE",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW",0.304,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",5,"NW",0.304,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_5"
"co",5,"SE,SW",0.328,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SE,NW",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW,NW",0.311,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night, n_flare_5"
"co",5,"SE,SW,NW",0.329,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",10,"SE",0.324,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SW",0.301,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",10,"NW",0.299,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",10,"SE,SW",0.323,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SE,NW",0.324,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SW,NW",0.306,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",10,"SE,SW,NW",0.322,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SE",0.322,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SW",0.299,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",20,"NW",0.297,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",20,"SE,SW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SE,NW",0.321,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SW,NW",0.304,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",20,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SE",0.323,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SW",0.299,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",30,"NW",0.297,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",30,"SE,SW",0.321,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SE,NW",0.322,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SW,NW",0.304,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",30,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SE",0.321,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SW",0.298,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",50,"NW",0.296,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",50,"SE,SW",0.319,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SE,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SW,NW",0.303,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",50,"SE,SW,NW",0.319,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co2",5,"SE",0.318,"(Intercept), wsp_ms.night"
"co2",5,"SW",0.319,"(Intercept), wsp_ms.night"
"co2",5,"NW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SE,SW",0.317,"(Intercept), wsp_ms.night"
"co2",5,"SE,NW",0.318,"(Intercept), wsp_ms.night"
"co2",5,"SW,NW",0.319,"(Intercept), wsp_ms.night"
"co2",5,"SE,SW,NW",0.317,"(Intercept), wsp_ms.night"
"co2",10,"SE",0.322,"(Intercept), wsp_ms.night"
"co2",10,"SW",0.324,"(Intercept), wsp_ms.night"
"co2",10,"NW",0.324,"(Intercept), wsp_ms.night"
"co2",10,"SE,SW",0.322,"(Intercept), wsp_ms.night"
"co2",10,"SE,NW",0.323,"(Intercept), wsp_ms.night"
"co2",10,"SW,NW",0.323,"(Intercept), wsp_ms.night"
"co2",10,"SE,SW,NW",0.322,"(Intercept), wsp_ms.night"
"co2",20,"SE",0.321,"(Intercept), wsp_ms.night"
"co2",20,"SW",0.322,"(Intercept), wsp_ms.night"
"co2",20,"NW",0.322,"(Intercept), wsp_ms.night"
"co2",20,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SE,NW",0.321,"(Intercept), wsp_ms.night"
"co2",20,"SW,NW",0.322,"(Intercept), wsp_ms.night"
"co2",20,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE",0.321,"(Intercept), wsp_ms.night"
"co2",30,"SW",0.322,"(Intercept), wsp_ms.night"
"co2",30,"NW",0.322,"(Intercept), wsp_ms.night"
"co2",30,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE,NW",0.321,"(Intercept), wsp_ms.night"
"co2",30,"SW,NW",0.322,"(Intercept), wsp_ms.night"
"co2",30,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",50,"SE",0.325,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"SW",0.327,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"NW",0.327,"(Intercept), wsp_ms.night"
"co2",50,"SE,SW",0.325,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"SE,NW",0.325,"(Intercept), wsp_ms.night"
"co2",50,"SW,NW",0.326,"(Intercept), wsp_ms.night"
"co2",50,"SE,SW,NW",0.324,"(Intercept), wsp_ms.night"
"nox",5,"SE",0.315,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW",0.288,"(Intercept), wsp_ms.night"
"nox",5,"NW",0.295,"(Intercept), wsp_ms.night"
"nox",5,"SE,SW",0.317,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SE,NW",0.315,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW,NW",0.294,"(Intercept), wsp_ms.night"
"nox",5,"SE,SW,NW",0.317,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",10,"SE",0.322,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW",0.296,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"NW",0.302,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"SE,SW",0.324,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SE,NW",0.322,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW,NW",0.301,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"SE,SW,NW",0.323,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",20,"SE",0.311,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SW",0.287,"(Intercept), wsp_ms.night"
"nox",20,"NW",0.292,"(Intercept), wsp_ms.night"
"nox",20,"SE,SW",0.313,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SE,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SW,NW",0.29,"(Intercept), wsp_ms.night"
"nox",20,"SE,SW,NW",0.311,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SE",0.309,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SW",0.285,"(Intercept), wsp_ms.night"
"nox",30,"NW",0.29,"(Intercept), wsp_ms.night"
"nox",30,"SE,SW",0.311,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SE,NW",0.309,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SW,NW",0.288,"(Intercept), wsp_ms.night"
"nox",30,"SE,SW,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",50,"SE",0.316,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW",0.291,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"NW",0.297,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"SE,SW",0.318,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SE,NW",0.316,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW,NW",0.295,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"SE,SW,NW",0.317,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"h2s",5,"SE",0.095,"wsp_ms.night, n_flare_5"
"h2s",5,"SW",0.108,"wsp_ms.night, wind_SW.night, n_flare_5"
"h2s",5,"NW",0.176,"wsp_ms.night, wind_NW.night"
"h2s",5,"SE,SW",0.133,"wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_5"
"h2s",5,"SE,NW",0.175,"wsp_ms.night, wind_NW.night"
"h2s",5,"SW,NW",0.185,"wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",5,"SE,SW,NW",0.19,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",10,"SE",0.095,"wsp_ms.night, n_flare_10"
"h2s",10,"SW",0.106,"wsp_ms.night, wind_SW.night, n_flare_10"
"h2s",10,"NW",0.178,"(Intercept), wsp_ms.night, wind_NW.night"
"h2s",10,"SE,SW",0.133,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_10"
"h2s",10,"SE,NW",0.177,"(Intercept), wsp_ms.night, wind_NW.night"
"h2s",10,"SW,NW",0.187,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",10,"SE,SW,NW",0.192,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",20,"SE",0.082,"wsp_ms.night, wind_SE.night"
"h2s",20,"SW",0.09,"wsp_ms.night, wind_SW.night"
"h2s",20,"NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",20,"SE,SW",0.12,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",20,"SE,NW",0.169,"wsp_ms.night, wind_NW.night"
"h2s",20,"SW,NW",0.178,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",20,"SE,SW,NW",0.184,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",30,"SE",0.083,"wsp_ms.night"
"h2s",30,"SW",0.092,"wsp_ms.night, wind_SW.night"
"h2s",30,"NW",0.171,"wsp_ms.night, wind_NW.night"
"h2s",30,"SE,SW",0.121,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",30,"SE,NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",30,"SW,NW",0.179,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",30,"SE,SW,NW",0.185,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",50,"SE",0.088,"wsp_ms.night"
"h2s",50,"SW",0.098,"wsp_ms.night, wind_SW.night"
"h2s",50,"NW",0.173,"wsp_ms.night, wind_NW.night"
"h2s",50,"SE,SW",0.126,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",50,"SE,NW",0.172,"wsp_ms.night, wind_NW.night"
"h2s",50,"SW,NW",0.182,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",50,"SE,SW,NW",0.187,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"so2",5,"SE",0.022,"(Intercept), wind_SE.night"
"so2",5,"SW",0.005,"(Intercept)"
"so2",5,"NW",0.011,"(Intercept)"
"so2",5,"SE,SW",0.03,"(Intercept), wind_SE.night"
"so2",5,"SE,NW",0.022,"(Intercept), wind_SE.night"
"so2",5,"SW,NW",0.009,"(Intercept)"
"so2",5,"SE,SW,NW",0.028,"(Intercept), wind_SE.night"
"so2",10,"SE",0.025,"(Intercept), wind_SE.night"
"so2",10,"SW",0.008,"(Intercept), weighted_monthly_oil"
"so2",10,"NW",0.014,"(Intercept), weighted_monthly_oil"
"so2",10,"SE,SW",0.032,"(Intercept), wind_SE.night"
"so2",10,"SE,NW",0.025,"(Intercept), wind_SE.night"
"so2",10,"SW,NW",0.011,"(Intercept), weighted_monthly_oil"
"so2",10,"SE,SW,NW",0.03,"(Intercept), wind_SE.night"
"so2",20,"SE",0.02,"(Intercept), wind_SE.night"
"so2",20,"SW",0.004,"(Intercept)"
"so2",20,"NW",0.009,"(Intercept)"
"so2",20,"SE,SW",0.027,"(Intercept), wind_SE.night"
"so2",20,"SE,NW",0.019,"(Intercept), wind_SE.night"
"so2",20,"SW,NW",0.006,"(Intercept)"
"so2",20,"SE,SW,NW",0.025,"(Intercept), wind_SE.night"
"so2",30,"SE",0.02,"(Intercept), wind_SE.night"
"so2",30,"SW",0.004,"(Intercept)"
"so2",30,"NW",0.009,"(Intercept)"
"so2",30,"SE,SW",0.027,"(Intercept), wind_SE.night"
"so2",30,"SE,NW",0.019,"(Intercept), wind_SE.night"
"so2",30,"SW,NW",0.006,"(Intercept)"
"so2",30,"SE,SW,NW",0.024,"(Intercept), wind_SE.night"
"so2",50,"SE",0.02,"(Intercept), wind_SE.night"
"so2",50,"SW",0.005,"(Intercept)"
"so2",50,"NW",0.009,"(Intercept)"
"so2",50,"SE,SW",0.028,"(Intercept), wind_SE.night"
"so2",50,"SE,NW",0.019,"(Intercept), wind_SE.night"
"so2",50,"SW,NW",0.007,"(Intercept)"
"so2",50,"SE,SW,NW",0.025,"(Intercept), wind_SE.night"
"ethane",5,"SE",0.428,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"ethane",5,"SW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"NW",0.423,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,SW",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,NW",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SW,NW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",5,"SE,SW,NW",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE",0.43,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"ethane",10,"SW",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"NW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,SW",0.429,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,NW",0.429,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SW,NW",0.428,"wsp_ms.night, weighted_monthly_oil"
"ethane",10,"SE,SW,NW",0.429,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"NW",0.423,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,SW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,NW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SW,NW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",20,"SE,SW,NW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE",0.428,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"NW",0.423,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,SW",0.427,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,NW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SW,NW",0.425,"wsp_ms.night, weighted_monthly_oil"
"ethane",30,"SE,SW,NW",0.426,"wsp_ms.night, weighted_monthly_oil"
"ethane",50,"SE",0.431,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW",0.429,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"NW",0.427,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW",0.431,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethene",5,"SE",0.415,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW",0.364,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, n_flare_5"
"ethene",5,"NW",0.36,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW",0.414,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SE,NW",0.417,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW,NW",0.378,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW,NW",0.416,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",10,"SE",0.405,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SW",0.357,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"ethene",10,"NW",0.351,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night"
"ethene",10,"SE,SW",0.403,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SE,NW",0.405,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",10,"SW,NW",0.369,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night"
"ethene",10,"SE,SW,NW",0.405,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SE",0.401,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SW",0.355,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"ethene",20,"NW",0.348,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night"
"ethene",20,"SE,SW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SE,NW",0.401,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",20,"SW,NW",0.365,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night"
"ethene",20,"SE,SW,NW",0.401,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",30,"SE",0.401,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"ethene",30,"SW",0.355,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"ethene",30,"NW",0.348,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night"
"ethene",30,"SE,SW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
