ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
1.8,0.04451079277918457,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-05-28 23:05:00
1.8,0.04464673957459545,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.009305880784744544,0.016,0.008171280398726366,0.008162004776390171,0.016,0.016,2023-05-28 22:05:00
1.8,0.04483964255078324,40,0.8,0.8,0.1,0.052,0.024252071622940314,0.034,0.01835051059388258,0.028,0.028,0.026,0.04342460348025684,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.008090896663314227,0.008058580942869261,0.016,0.008097129249574175,0.016,2023-05-29 00:05:00
1.8,0.04678302941650797,40,0.8,0.8,0.1,0.052,0.023159909734672666,0.017134882800417327,0.036,0.028,0.014082243866484295,0.013179568138810887,0.043236872558484116,0.013182355364367838,0.010178267217592301,0.010176499473203237,0.009180332176943293,0.011173391388694477,0.008284706168289663,0.009657529919277253,0.008544566656924296,0.00894960162747403,0.008375915823102612,0.009050463401527441,0.008815748472184795,2023-05-29 04:05:00
1.8,0.04477306226503625,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.013116801476429202,0.010139262032434175,0.010170600162123037,0.009088213199088853,0.022,0.008060374834995047,0.009384346798669278,0.008106769834229302,0.008309959975442078,0.008121985639238419,0.008251054951083657,0.008165164620582773,2023-05-29 02:05:00
1.8,0.04700254095916588,40,0.8,0.8,0.05743681458163298,0.026148788284744234,0.035819802351468484,0.017105988000811003,0.02229444705460504,0.014317821063276354,0.028,0.013075420312277389,0.04343456335413747,0.026,0.02,0.02,0.018,0.01122593499400977,0.0080682311075742,0.009045578372165582,0.008156130462644337,0.008101518994591056,0.016,0.008107279016198883,0.016,2023-05-29 03:05:00
1.8,0.045047726110467194,40,0.8,0.8,0.1,0.052,0.024108276984411012,0.034,0.018405308967373676,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.009068853823503625,0.008068495459062297,0.008099786945747256,0.016,0.008078318562934983,0.016,2023-05-29 01:05:00
1.8,0.04535401623511664,40,0.8,0.8,0.1,0.026132348093010068,0.046,0.01726796850980056,0.036,0.028,0.014173985748506958,0.013357534006000045,0.086,0.013219790252161922,0.010245058382636112,0.010211272271139906,0.009186725662234415,0.01122593499400977,0.008288986777831308,0.009262404776453324,0.008586208913352275,0.008979440910991674,0.008892779911036822,0.009285086504020575,0.009270423616587094,2023-06-13 04:05:00
1.8,0.04447850687372529,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.014734886430637955,0.016,0.018,0.008129013331620014,0.008075566947574761,0.008046413308927214,0.008206082407333686,0.008236787913073394,2023-06-13 02:05:00
1.8,0.04442000426447732,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.01289164645836979,0.016,0.018,0.008070402965956226,0.008054668190039891,0.008046413308927214,0.008123428995349655,0.008073823637223268,2023-06-13 03:05:00
