ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
0.05247563214374559,0.08564629677529115,0.08889502360064487,0.8,0.8,0.1,0.052,0.04629657223649052,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.009153873176038215,0.011587070641158687,0.008358701360601942,0.009155146897691287,0.008634697546385257,0.008372292862689737,0.016,0.008220600426436351,0.016,2023-04-16 01:05:00
0.1938778362486821,0.1153996756719084,0.09238241844981082,0.8,0.8,0.1,0.0272411192445592,0.046,0.018598480429647096,0.036,0.028,0.01490800707063536,0.014545668065064014,0.043589777603304736,0.013640961990119528,0.010984648245744666,0.010829689008457554,0.009866112313973035,0.01187798240270344,0.01010140776626032,0.010153947127856605,0.013803398682607135,0.010879746476843933,0.008989093867178846,0.013729095792545576,0.011829801350785681,2023-04-16 13:05:00
0.07880595551936995,0.09490923834260101,0.08538461395723987,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.009101452880336201,0.008221195279362025,0.008084857977801622,0.008072403523935826,0.008040053774450204,0.00810609304782388,2023-04-16 20:05:00
0.07720766419955118,0.10133540301230082,0.07735201846655423,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.012100493108930481,0.016,0.009292764037327927,0.008238286446624256,0.008309959975442078,0.008408501902403834,0.008165395341260933,0.008236787913073394,2023-04-16 08:05:00
0.0755343254198125,0.09635487256618858,0.08823879286400096,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.04322226191894742,0.026,0.02,0.02,0.018,0.022,0.016,0.009142051608154657,0.008231376859917759,0.00813121364426893,0.016,0.008082834576665003,0.016,2023-04-16 19:05:00
0.14713457555121784,0.12944670648704734,0.09892233196157252,0.8,0.8,0.050262085524269105,0.026374805954803196,0.046,0.01761889766061344,0.018110011214413795,0.028,0.014337470215433168,0.013565008630152486,0.04352380536742193,0.013236276220535323,0.010341827920417523,0.010261315877764365,0.009196509857530939,0.012747815451988257,0.00830552873628923,0.009735081544720279,0.008973654872184766,0.009155718329795566,0.010637963531610641,0.010435592969310589,0.011829801350785681,2023-04-16 12:05:00
0.1523488442731952,0.11670714844803814,0.19643782424750642,0.8,0.8,0.05040965386599925,0.026441519902326155,0.024527530752532636,0.017632858285187812,0.01883457693625749,0.028,0.014331892510949901,0.013695878682071314,0.04498855875000204,0.013665950044701098,0.010608657535638465,0.01058216993597523,0.009673070888241568,0.01247405612158962,0.00896248874109133,0.011165961321385835,0.011018567472338276,0.013352857134892562,0.022505475176029972,0.021071158274797882,0.028592941864918002,2023-04-17 03:05:00
0.22326562902765873,0.13580284568595624,0.11261646077944873,0.8,0.8,0.05050961405428355,0.027891299550341107,0.023931002639377908,0.019710389668874468,0.018379256571073643,0.028,0.01562011700886737,0.016379243797956102,0.045380699224301095,0.015627766887253133,0.012563582335922622,0.012586367435059989,0.011845782956154023,0.011775148426738326,0.012956485890486317,0.014642559435181168,0.01937416284914523,0.016477710171298267,0.011301510441177975,0.020627052834629813,0.020473053790942147,2023-04-17 07:05:00
0.19184146179550052,0.13182141037150902,0.12821020284853454,0.8,0.8,0.05134255598269037,0.02703268036647924,0.02496171806921619,0.018777128857118956,0.018716135364191717,0.028,0.015005277051891188,0.015274347629528314,0.045257411457138845,0.014579336641490274,0.011629987334058114,0.011614766628841373,0.01050661452546685,0.011986481425399667,0.010081400529495502,0.013098857696507614,0.012165477420478901,0.013238415481739875,0.010709375020776771,0.014763267663379095,0.014772074706116006,2023-04-17 08:05:00
0.1769229975192687,0.13483101518767215,0.16415364502817867,0.8,0.8,0.05053834482616485,0.026705726960744337,0.024581209403707723,0.018200973590000544,0.018905257920110136,0.028,0.014646640689325707,0.014414423131559368,0.04511921191597938,0.013902539815319002,0.010980434600717822,0.010891495761014822,0.00982012913291784,0.012747815451988257,0.009204689713704906,0.0115667890276264,0.010645416135389885,0.011905713652896424,0.012006964654836758,0.013418297616336968,0.014137080817111847,2023-04-17 12:05:00
